scenario,algo,algo_label,run_id,n_qos_flows,n_decisions,n_timing,throughput_mean,throughput_std,throughput_min,throughput_max,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,jitter_mean_ms,jitter_std_ms,jitter_p95_ms,packet_loss_mean,packet_loss_max,latency_mdev_mean,latency_pre_ms,latency_post_ms,jitter_pre_ms,jitter_post_ms,throughput_pre,throughput_post,loss_pre_pct,loss_post_pct,flow_setup_mean_ms,flow_setup_std_ms,flow_setup_p50_ms,flow_setup_p95_ms,flow_setup_p99_ms,flow_setup_max_ms,end_mape,end_jfi_c,n_flows
steady,saintelague,Sainte-Lague,14,11,0,0,3.144009090909091,0.0007408839928822915,3.1435,3.1455,18.661272727272728,3.076775425373425,19.72,22.0885,23.5137,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,18.661272727272728,18.661272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,15,11,0,0,3.1455545454545457,5.222329678658764e-05,3.1455,3.1456,13.092272727272727,3.8333504689999085,14.233,17.1685,17.536900000000003,0.0,0.0,0.0,0.01350909090909091,0.0743,0.0,13.092272727272727,13.092272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,1,11,0,0,3.145027272727273,0.0008753181239880002,3.1436,3.1456,14.557,2.5192339708728917,14.547,18.377,18.9354,0.0,0.0,0.0,0.02701818181818182,0.0743,0.0,14.557,14.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,2,11,0,0,3.1452,0.0007937253933194129,3.1435,3.1456,13.388,4.726192463283737,14.468,18.822499999999998,19.7797,0.0,0.0,0.0,0.020263636363636366,0.0743,0.0,13.388,13.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,3,11,0,0,3.144790909090909,0.0010251385715644161,3.1434,3.1456,16.091727272727272,2.90957402692934,16.332,19.519,19.7814,0.0,0.0,0.0,0.033772727272727274,0.0743,0.0,16.091727272727272,16.091727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,4,11,0,0,3.144118181818182,0.00089198450863032,3.1435,3.1455,17.71709090909091,2.658219722090161,19.148,19.884999999999998,19.9514,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,17.71709090909091,17.71709090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,5,11,0,0,3.1441363636363637,0.0008778071852892207,3.1436,3.1456,16.20509090909091,5.162199404411756,18.948,19.909,20.132199999999997,0.0,0.0,0.0,0.0743,0.0743,0.0,16.20509090909091,16.20509090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,6,11,0,0,3.1447636363636366,0.0009615328671165805,3.1435,3.1456,15.440272727272728,5.050084951580698,16.69,20.3705,20.4085,0.0,0.0,0.0,0.04052727272727273,0.0743,0.0,15.440272727272728,15.440272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,7,11,0,0,3.1438545454545457,0.0005768251665169302,3.1435,3.1455,18.016636363636362,3.0454204725366667,19.242,20.4165,20.6409,0.0,0.0,0.0,0.06754545454545455,0.0743,0.0,18.016636363636362,18.016636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,8,11,0,0,3.1445727272727275,0.0009371135567164343,3.1436,3.1456,16.18672727272727,3.6957321626684227,18.029,19.378999999999998,19.387,0.0,0.0,0.0,0.06754545454545455,0.0743,0.0,16.18672727272727,16.18672727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
