scenario,algorithm,algo_label,run_id,n_flows,end_mape,end_jfi_c,duration_s,change1_mape_at_change,change1_recovery_flows,change1_recovery_time_s,change1_mape_at_n10,change1_mape_at_n30,change1_mape_at_n50,change1_mape_at_n100,change1_mape_at_n200,change1_cde,change1_n_post_change
single_change,iwrr,IWRR,16,271,15.6376,0.972621,118.36,30.5326,-1,-1.0,28.2222,21.6519,18.4967,11.6667,15.6376,17.3255,151
single_change,iwrr,IWRR,17,300,10.8,0.987688,122.51,30.5326,-1,-1.0,28.2222,22.7111,18.4967,11.3131,10.8,15.5541,180
single_change,iwrr,IWRR,18,300,10.8,0.987688,123.27,30.5326,-1,-1.0,28.2222,22.7111,18.4967,11.3131,10.8,15.8984,180
single_change,iwrr,IWRR,19,300,10.8,0.987688,123.19,30.5326,-1,-1.0,28.2222,22.7111,18.4967,11.3131,10.8,15.4907,180
single_change,iwrr,IWRR,20,300,10.8,0.987688,122.44,30.5326,-1,-1.0,28.2222,22.7111,18.4967,11.3131,10.8,15.5261,180
single_change,wlc,WLC,1,300,50.6667,0.757576,122.63,30.5326,29,8.16,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,2,299,50.4831,0.75911,122.47,30.5326,29,8.13,21.1111,4.2222,8.6928,30.7071,50.4831,27.2101,179
single_change,wlc,WLC,3,299,50.4831,0.75911,122.33,31.6667,30,8.14,22.093,4.959,8.1197,30.3653,50.4831,27.2317,180
single_change,wlc,WLC,4,300,50.6667,0.757576,122.11,30.5326,29,8.16,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,5,300,50.6667,0.757576,122.21,30.5326,29,8.19,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,6,300,50.6667,0.757576,121.76,30.5326,29,8.2,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,7,300,50.6667,0.757576,121.58,30.5326,29,8.16,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,8,300,50.6667,0.757576,122.5,30.5326,29,8.13,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,9,279,46.5352,0.791581,113.79,30.5326,29,8.15,21.1111,4.2222,8.6928,30.7071,46.5352,24.5252,159
single_change,wlc,WLC,10,300,50.6667,0.757576,122.56,30.5326,29,8.18,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,11,300,50.6667,0.757576,122.11,30.5326,29,8.13,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,12,300,50.6667,0.757576,121.99,30.5326,29,8.14,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,13,299,51.0145,0.754802,122.56,30.3426,29,8.15,20.8613,3.8926,9.0598,31.0908,51.0145,27.5877,180
single_change,wlc,WLC,14,300,50.6667,0.757576,122.23,30.5326,29,8.14,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,15,300,50.6667,0.757576,121.66,30.5326,29,8.16,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,16,300,50.6667,0.757576,121.83,30.5326,29,8.18,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,17,300,50.6667,0.757576,121.99,30.5326,29,8.34,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,18,299,51.0145,0.754802,122.29,30.3426,29,8.14,20.8613,3.8926,9.0598,31.0908,51.0145,27.5877,180
single_change,wlc,WLC,19,300,50.6667,0.757576,122.35,30.5326,29,8.16,21.1111,4.2222,8.6928,30.7071,50.6667,27.3399,180
single_change,wlc,WLC,20,299,50.4831,0.75911,122.51,30.5326,29,8.14,21.1111,4.2222,8.6928,30.7071,50.4831,27.2101,179
single_change,saintelague,Sainte-Laguë,1,300,4.7333,0.997033,122.7,30.5326,88,33.08,27.0,19.5333,13.8235,4.0909,4.7333,9.5895,180
single_change,saintelague,Sainte-Laguë,2,300,4.7333,0.997033,122.1,30.5326,86,32.58,27.0,19.5333,13.8235,4.0909,4.7333,9.5473,180
single_change,saintelague,Sainte-Laguë,3,299,4.9275,0.99705,122.35,30.5326,94,32.98,27.0,19.5333,13.8235,4.0909,4.9275,9.4367,179
single_change,saintelague,Sainte-Laguë,4,300,4.7333,0.997033,122.68,30.5326,86,33.31,27.0,19.5333,13.8235,4.0909,4.7333,9.4423,180
single_change,saintelague,Sainte-Laguë,5,299,4.3961,0.997311,123.11,30.5326,86,33.03,27.0,19.5333,13.8235,4.0909,4.3961,9.4177,179
single_change,saintelague,Sainte-Laguë,6,300,4.7333,0.997033,122.47,30.5326,93,32.89,27.0,19.5333,13.8235,4.0909,4.7333,9.5378,180
single_change,saintelague,Sainte-Laguë,7,300,4.7333,0.997033,122.94,30.5326,86,32.77,27.0,19.5333,13.8235,4.0909,4.7333,9.4322,180
single_change,saintelague,Sainte-Laguë,8,300,4.7333,0.997033,123.16,30.5326,85,33.07,27.0,19.5333,13.8235,4.0909,4.7333,9.4275,180
single_change,saintelague,Sainte-Laguë,9,300,4.7333,0.997033,122.81,30.5326,85,33.03,27.0,19.5333,13.8235,4.0909,4.7333,9.4293,180
single_change,saintelague,Sainte-Laguë,10,300,4.7333,0.997033,123.23,30.5326,86,32.99,27.0,19.5333,13.8235,4.0909,4.7333,9.2393,180
single_change,saintelague,Sainte-Laguë,11,300,4.7333,0.997033,122.59,30.5326,86,32.79,27.0,19.5333,13.8235,4.0909,4.7333,9.4504,180
single_change,saintelague,Sainte-Laguë,12,300,4.7333,0.997033,121.94,30.5326,94,33.16,27.0,19.5333,13.8235,4.0909,4.7333,9.5432,180
single_change,saintelague,Sainte-Laguë,13,299,5.3623,0.995827,123.14,30.5326,93,32.79,27.0,19.5333,13.8235,4.0909,5.3623,9.7072,179
single_change,saintelague,Sainte-Laguë,14,300,4.7333,0.997033,122.44,30.5326,86,32.78,27.0,19.5333,13.8235,4.0909,4.7333,9.5389,180
single_change,saintelague,Sainte-Laguë,15,300,4.7333,0.997033,122.56,30.5326,86,32.73,27.0,19.5333,13.8235,4.0909,4.7333,9.3607,180
single_change,saintelague,Sainte-Laguë,16,300,4.7333,0.997033,123.01,30.5326,97,32.99,27.0,19.5333,13.8235,4.0909,4.7333,9.4958,180
single_change,saintelague,Sainte-Laguë,17,300,4.7333,0.997033,121.96,30.5326,86,32.55,27.0,19.5333,13.8235,4.0909,4.7333,9.3187,180
single_change,saintelague,Sainte-Laguë,18,300,4.7333,0.997033,123.41,30.5326,93,33.24,27.0,19.5333,13.8235,4.0909,4.7333,9.5346,180
single_change,saintelague,Sainte-Laguë,19,300,4.7333,0.997033,122.37,30.5326,86,32.59,27.0,19.5333,13.8235,4.0909,4.7333,9.29,180
single_change,saintelague,Sainte-Laguë,20,300,4.7333,0.997033,123.09,30.5326,93,32.78,27.0,19.5333,13.8235,4.0909,4.7333,9.2617,180
